reference_scenario,comparison_scenario,period_id,scope,group,metric,unit,n,percent_n,difference_mean,difference_median,difference_minimum,difference_maximum,difference_p10,difference_p90,percent_mean,percent_median,percent_minimum,percent_maximum,percent_p10,percent_p90,reference_p50,comparison_p50,claim_status
BASELINE_SPREAD,MIDDAY_BANK,winter,building,whole_building,district_cooling_kwh_boundary,kWh,5,5,0.7616892845824623,0.782356607018329,0.6652767069231231,0.799618314495234,0.7083631076093525,0.7950518230319119,0.4069344681953716,0.4184671348403988,0.3543362271377308,0.4282144271938042,0.37779156384380846,0.42520064947708214,187.1768304503996,187.9498231590383,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,winter,building,whole_building,district_heating_kwh_boundary,kWh,5,5,8117.448837599693,8125.544558782829,7925.56954580429,8240.56681756361,7981.482927097357,8236.424197262479,2.229423763659343,2.2318572867803073,2.176763674199509,2.2629398377435184,2.192129276267774,2.261916038727395,364098.75999602344,372196.51840249106,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,winter,building,whole_building,peak_hvac_electric_kw,kW,5,5,2.4392071290925514,2.461481828417618,1.9377093910015901,2.856667997983095,2.107222176113146,2.745474828501847,0.6434825395656174,0.6493381997570404,0.5104765780241189,0.7541717699396808,0.5554566573689943,0.7247028114521842,379.07546935304566,381.5260145982265,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,winter,building,whole_building,cooling_unmet_occupied_hours,h,5,0,2.5,2.5,2.0,2.75,2.2,2.75,,,,,,,0.0,2.5,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,winter,building,whole_building,heating_unmet_occupied_hours,h,5,1,0.3,0.25,0.0,0.75,0.1,0.55,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.25,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,summer,building,whole_building,facility_electricity_kwh,kWh,5,5,141.33322413091665,141.43615325304563,115.24581608513836,165.52183986580349,121.20278430893086,161.04273384187255,0.08471924752755866,0.08478334675975101,0.06907330440865166,0.09924056002982339,0.07264417829613382,0.0965437509427781,166839.47583418133,166962.11339524802,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,summer,building,whole_building,fan_electricity_kwh,kWh,5,5,166.12619119586014,165.97269029020026,144.74548601055722,187.5507149600162,149.75384011478164,182.56870635497324,1.21550449119053,1.214777267182789,1.057683259026605,1.3757296434717368,1.0943518459927133,1.3374288100148997,13679.590872726933,13829.890332093091,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,summer,building,whole_building,pump_electricity_kwh,kWh,5,5,-24.792967064931144,-24.536537037184644,-29.49966992539248,-20.771618641390887,-28.551055805818578,-21.27452122252653,-0.5403425825534576,-0.5348715957810716,-0.6426909999955926,-0.45260128359042157,-0.622059699827687,-0.46373528368400246,4589.333362530982,4562.833072925746,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,summer,building,whole_building,district_cooling_kwh_boundary,kWh,5,5,-787.6423108085758,-742.0370208619861,-1337.770750532858,-392.40018236998003,-1111.2304717161228,-513.2735281368018,-0.14328731262851288,-0.1350195114085442,-0.2433104045648506,-0.0713800876014734,-0.2021149606016184,-0.09338995852525447,549733.3998254722,548835.5855915607,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,summer,building,whole_building,district_heating_kwh_boundary,kWh,5,5,62.515538875081276,55.11371352798733,49.65346981356083,78.05562715252904,50.97262191325217,77.55478981893343,6.246274803374434,5.466666921813642,4.915019554069043,7.866767050571684,5.041682931497775,7.820557227453783,1008.1776394326689,1065.0807297124277,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,summer,building,whole_building,peak_hvac_electric_kw,kW,5,5,471.3319953944141,467.03740281791374,448.82001955068813,500.4483528936928,453.7271521494426,491.9755520010962,41.68461504214552,41.297771685215295,39.72535695874709,44.55830926265781,40.13303164169645,43.57382301278947,1130.9021861465574,1597.939588964471,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,summer,building,whole_building,cooling_unmet_occupied_hours,h,5,5,-9.05,-9.0,-10.75,-7.75,-10.25,-7.949999999999999,-59.409579649980984,-58.92857142857143,-64.17910447761194,-52.54237288135594,-63.840796019900495,-54.75123018042647,15.0,6.0,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,summer,building,whole_building,heating_unmet_occupied_hours,h,5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,shoulder,building,whole_building,facility_electricity_kwh,kWh,5,5,1154.3870255784946,1159.37359948839,1133.481239202767,1173.4683486542199,1136.052028500856,1170.3625004321743,1.037083849599531,1.0417048642456972,1.0182515697159125,1.0542936600783805,1.0205260693982052,1.0514687300614365,111312.91521743961,112465.82970721992,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,shoulder,building,whole_building,fan_electricity_kwh,kWh,5,5,1089.2963621771657,1093.341381923692,1069.1743898985987,1108.0164978994471,1071.655371852324,1105.03897729214,12.355394315628574,12.420565127875793,12.119873933946526,12.577860793775717,12.143043124371573,12.539066401279705,8818.073355529319,9906.012244023643,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,shoulder,building,whole_building,pump_electricity_kwh,kWh,5,5,65.09066340132453,65.13103171791795,64.30684930415907,66.03221756469827,64.39665664852521,65.80007084072815,11.689147805349984,11.689036188344756,11.542778952091002,11.887630771839719,11.55454283842326,11.83422024172495,557.1175673645706,622.1732236430774,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,shoulder,building,whole_building,district_cooling_kwh_boundary,kWh,5,5,5485.986037992696,5514.156948049771,5371.828428246648,5581.982335320434,5389.605840934071,5567.46560854483,9.092134843541354,9.135610925062384,8.898010036193382,9.257589722595107,8.921837733482764,9.239307535332687,60358.92939488463,65873.0863429344,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,shoulder,building,whole_building,district_heating_kwh_boundary,kWh,5,5,9363.27800057064,9269.804353004576,9188.485381164879,9725.156335089974,9218.521768428633,9582.840834761788,25.8866077475635,25.66293755263751,25.281131779782346,27.082737266896935,25.39733945158844,26.583474831819412,36250.31628876576,45533.71494289293,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,shoulder,building,whole_building,peak_hvac_electric_kw,kW,5,5,384.8139561429405,382.0621640856234,381.5245394631896,395.4833542669151,381.6398038939418,390.56482150371073,79.29054198695711,79.06930385512078,77.59309080658673,82.40121265459454,77.7723409847593,81.17988213934288,484.621722560022,870.4002359043294,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,shoulder,building,whole_building,cooling_unmet_occupied_hours,h,5,5,0.85,1.0,-0.5,1.75,5.551115123125783e-17,1.5500000000000003,26.05322128851541,28.57142857142857,-10.0,58.333333333333336,1.0588235294117654,49.28571428571429,3.5,4.75,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,shoulder,building,whole_building,heating_unmet_occupied_hours,h,5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,winter,building,whole_building,facility_electricity_kwh,kWh,5,5,118.09557758646842,115.2355674564642,106.23071599325885,129.656273136683,108.50295934845016,128.77136666788937,1.2434189783980671,1.2134937040192852,1.1184352534021131,1.364938024418741,1.1424254455386873,1.3556896852139033,9497.866714300886,9611.417300809144,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,winter,building,whole_building,fan_electricity_kwh,kWh,5,5,54.90920674394438,53.047256601223125,42.97026539844319,67.64663483793538,45.24778406123532,65.4751068334399,0.7332768226549721,0.7085540356855011,0.5737959792358192,0.903250314433787,0.604272027595935,0.87426926217373,7488.770739674917,7539.739016094452,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,winter,building,whole_building,pump_electricity_kwh,kWh,5,5,63.18637084252432,63.24726232581338,62.009638298748996,65.22619213800272,62.081107321345826,64.4398955207278,4.695824881763258,4.699062821919641,4.607277728711745,4.849407300830788,4.613032503463132,4.790329137204034,1345.5824979742285,1408.7374183696857,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,winter,building,whole_building,district_cooling_kwh_boundary,kWh,5,5,0.7731069397503006,0.7835049172340689,0.6386866630709847,0.8724394211534445,0.6946731471068461,0.8403639823450134,0.4130412826701398,0.4181730055125131,0.34017397597224347,0.46610438859025033,0.3706988178121995,0.44937021823557366,187.1768304503996,188.04926987155304,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,winter,building,whole_building,district_heating_kwh_boundary,kWh,5,5,8021.491127796052,8052.896575021499,7735.933206818299,8267.573490482115,7804.144082404766,8218.38088263882,2.203068402283068,2.211902940243328,2.124679910171292,2.270356132931118,2.1434228520421574,2.2569599850471302,364098.75999602344,372123.8704187297,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,winter,building,whole_building,peak_hvac_electric_kw,kW,5,5,2.186282707660496,2.130692336245204,1.746167584907937,2.669714690294427,1.83298796867183,2.570476967191553,0.5767476987353215,0.5622768033478147,0.4600161704019488,0.7042315709663485,0.48316829761725344,0.678265926787923,379.07546935304566,381.2037641654547,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,winter,building,whole_building,cooling_unmet_occupied_hours,h,5,0,2.4,2.25,1.75,3.0,1.9500000000000002,2.9,,,,,,,0.0,2.25,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,winter,building,whole_building,heating_unmet_occupied_hours,h,5,1,0.15,0.0,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,summer,building,whole_building,facility_electricity_kwh,kWh,5,5,-283.9493941108929,-283.8254113116127,-318.11821096754284,-237.72382156198728,-314.9486891874752,-250.58834101557147,-0.17020345904729045,-0.17011542095452523,-0.19067322609171625,-0.14253010480893918,-0.18877072273702478,-0.15023069315587717,166839.47583418133,166550.77456665903,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,summer,building,whole_building,fan_electricity_kwh,kWh,5,5,-203.3964130312761,-199.04597936627397,-234.45553773000938,-165.19551899169346,-231.13302548429567,-175.97162017608753,-1.4878270469306636,-1.4546939394276792,-1.7139075277276352,-1.2117488994591212,-1.68935105959754,-1.2895567439300666,13679.590872726933,13467.622226122867,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,summer,building,whole_building,pump_electricity_kwh,kWh,5,5,-80.55298107961171,-83.66267323751435,-84.77943194531872,-72.52830257027199,-84.48571892784747,-74.61672083948834,-1.7555938322550886,-1.8229601625966245,-1.8473147459168997,-1.581797890718362,-1.8408046508500235,-1.6270214759485566,4589.333362530982,4505.978660733367,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,summer,building,whole_building,district_cooling_kwh_boundary,kWh,5,5,-264.3378216010984,-187.90940186963417,-594.3709083046997,-99.44832183269318,-469.2600162043935,-123.01571227742824,-0.04808938040074163,-0.03418083881006376,-0.10811984654623477,-0.0180874125172568,-0.08536718768206389,-0.022380689408092177,549733.3998254722,549333.2186470252,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,summer,building,whole_building,district_heating_kwh_boundary,kWh,5,5,-13.098338681933,-19.458981396834815,-24.138036767220683,1.7868728931949818,-23.29627781950476,0.41296023956754235,-1.2963537309707367,-1.9301143603804736,-2.3848766029869,0.18033656018547356,-2.3033384549755245,0.041768728625954946,1008.1776394326689,988.7186580358341,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,summer,building,whole_building,peak_hvac_electric_kw,kW,5,5,338.3035737391457,338.8853532238618,325.2063666569877,354.88089489894105,327.6908396183957,349.37961888153666,29.919858815994893,30.164209516456108,28.56499908644316,31.410742867070113,28.853432411862684,30.915749804247312,1130.9021861465574,1463.6848440161184,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,summer,building,whole_building,cooling_unmet_occupied_hours,h,5,5,-8.65,-9.25,-10.75,-5.25,-10.350000000000001,-6.449999999999999,-56.9381016109797,-62.71186440677966,-65.0,-33.87096774193548,-64.67164179104478,-43.89400921658986,15.0,5.75,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,summer,building,whole_building,heating_unmet_occupied_hours,h,5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,EVENING_BANK,shoulder,building,whole_building,facility_electricity_kwh,kWh,5,5,1035.8624290618377,1038.503303172809,1016.002746900529,1059.572913265074,1017.4524128721357,1053.9862560155366,0.9306034617097337,0.9329584991500651,0.9127159374907606,0.9519651775246287,0.9139869743672804,0.9469727723952387,111312.91521743961,112345.54840660148,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
