scenario_id,dimension,group,seeds,spaces_supported,space_time_intervals,spaces_over_1,ratio_over_1_count,ratio_over_1_percent,ratio_over_1_5_count,ratio_over_1_5_percent,ratio_over_2_count,ratio_over_2_percent,p50,p90,p95,p99,maximum
EVENING_BANK,hvac_group,hvac_group_04,5,41,19680,23,1689,8.582317073170733,1380,7.01219512195122,1272,6.463414634146342,0.0,0.7487475558626451,3.25932740915097,6.850159853926302,11.534667075669848
EVENING_BANK,hvac_group,hvac_group_05,5,14,6720,14,1268,18.86904761904762,801,11.919642857142858,315,4.6875,0.0,1.8090796146759773,1.9984563434429734,3.005259222237078,4.623896848898278
EVENING_BANK,hvac_group,hvac_group_06,5,30,14400,17,1947,13.520833333333334,1643,11.409722222222223,1494,10.375,0.0,2.2394168737162814,6.319538757049064,11.083831980227462,26.05928295904784
EVENING_BANK,hvac_group,hvac_group_07,5,20,9600,20,2182,22.729166666666668,1528,15.916666666666668,821,8.552083333333334,0.0,1.811362203809819,2.4886244772725696,3.2216520865776714,3.5787597408149034
EVENING_BANK,hvac_group,hvac_group_08,5,27,12960,18,1947,15.023148148148149,1622,12.515432098765434,1452,11.203703703703702,0.0,2.5875116896509973,6.411907629350221,10.7878564452106,18.613243668875388
EVENING_BANK,hvac_group,hvac_group_09,5,6,2880,6,793,27.534722222222225,348,12.083333333333334,61,2.118055555555556,0.0,1.6285643193545747,1.9843454865269463,2.2558039490838384,2.3812145838323358
EVENING_BANK,hvac_group,hvac_group_10,5,13,6240,13,170,2.7243589743589745,50,0.8012820512820512,24,0.38461538461538464,0.0,0.43376653069779625,0.6837927240042759,1.4040372768771254,3.48048801211142
EVENING_BANK,hvac_group,hvac_group_11,5,6,2880,6,545,18.92361111111111,414,14.374999999999998,224,7.777777777777778,0.0,1.8193490821130403,2.441771491582664,3.8965923481686167,3.8965923481686167
EVENING_BANK,hvac_group,hvac_group_12,5,45,21600,45,4280,19.814814814814817,3617,16.74537037037037,3290,15.231481481481483,0.0,5.274542589192958,8.40983003144347,13.4786746287218,59.169394781117
EVENING_BANK,hvac_group,hvac_group_13,5,14,6720,14,1403,20.87797619047619,877,13.050595238095239,377,5.6101190476190474,0.0,1.7223415791411312,2.160682634681736,2.9204839934882134,3.1813026840000003
