scenario_id,family,scope,group,metric,n,mean,p10,p50,p90,minimum,maximum
DOUBLE_BANK,timing,function,international_arrival,daily_mean_occupancy,30,40.799086757990864,40.799086757990864,40.79908675799087,40.79908675799087,40.79908675799086,40.799086757990885
DOUBLE_BANK,timing,function,international_arrival,daily_peak_occupancy,30,173.03673058520295,159.31085318012134,167.96797801162944,203.27954830481485,150.27002272886452,208.2792489381536
DOUBLE_BANK,timing,function,international_arrival,person_hours,30,979.1780821917807,979.1780821917807,979.1780821917808,979.1780821917808,979.1780821917806,979.1780821917813
DOUBLE_BANK,timing,function,international_hall,daily_mean_occupancy,30,40.799086757990864,40.799086757990864,40.799086757990864,40.79908675799087,40.79908675799086,40.79908675799087
DOUBLE_BANK,timing,function,international_hall,daily_peak_occupancy,30,173.27983990567708,154.73764771944496,171.19795278488093,201.25205871940648,148.91675104082984,207.14667618113577
DOUBLE_BANK,timing,function,international_hall,person_hours,30,979.1780821917807,979.1780821917807,979.1780821917807,979.178082191781,979.1780821917806,979.178082191781
DOUBLE_BANK,timing,function,office,daily_mean_occupancy,30,1097.6905717395139,1096.5000379418748,1097.715118828125,1098.6908656004175,1095.8740871822918,1099.64820205625
DOUBLE_BANK,timing,function,office,daily_peak_occupancy,30,3313.8569625000005,3313.856962499999,3313.8569625000005,3313.856962500001,3313.856962499999,3313.8569625000023
DOUBLE_BANK,timing,function,office,person_hours,30,26344.573721748333,26316.000910604995,26345.162851875,26368.580774410017,26300.978092375,26391.55684935
DOUBLE_BANK,timing,function,restaurant,daily_mean_occupancy,30,19.002174657534244,15.269058219178083,19.277568493150685,22.337499999999995,13.157705479452055,26.009417808219172
DOUBLE_BANK,timing,function,restaurant,daily_peak_occupancy,30,124.38416799032515,92.88778875192568,125.06529228882667,155.69102956612647,82.46836948635942,183.73952397329361
DOUBLE_BANK,timing,function,restaurant,person_hours,30,456.0521917808219,366.457397260274,462.6616438356165,536.0999999999999,315.7849315068493,624.2260273972602
DOUBLE_BANK,timing,function,restroom,daily_mean_occupancy,30,9.240993150684933,7.007243150684931,9.33279109589041,11.321746575342466,6.731849315068492,13.769691780821917
DOUBLE_BANK,timing,function,restroom,daily_peak_occupancy,30,79.85334393327008,65.6654646439498,74.40946339376615,101.28558583502237,50.213772669950174,132.76582772801345
DOUBLE_BANK,timing,function,restroom,person_hours,30,221.78383561643835,168.17383561643837,223.98698630136988,271.7219178082192,161.5643835616438,330.472602739726
DOUBLE_BANK,timing,function,transfer,daily_mean_occupancy,30,40.799086757990864,40.799086757990864,40.79908675799087,40.79908675799087,40.79908675799086,40.79908675799087
DOUBLE_BANK,timing,function,transfer,daily_peak_occupancy,30,173.49421237165734,158.94143860271998,171.94546191736333,194.64099328759434,150.04435851962558,199.94080149938793
DOUBLE_BANK,timing,function,transfer,person_hours,30,979.1780821917807,979.1780821917807,979.1780821917808,979.1780821917808,979.1780821917806,979.178082191781
DOUBLE_BANK,timing,hvac_group,C1-DOAS,daily_mean_occupancy,30,408.40218676736106,381.19480742802074,406.8679937291666,437.9906337019791,367.0096585968749,457.3122608249999
DOUBLE_BANK,timing,hvac_group,C1-DOAS,daily_peak_occupancy,30,1312.6113787196664,1223.8736533904996,1311.1827381624998,1394.7361183769997,1195.1977444749998,1481.9568336299994
DOUBLE_BANK,timing,hvac_group,C1-DOAS,person_hours,30,9801.652482416664,9148.675378272497,9764.831849499998,10511.775208847499,8808.231806324997,10975.494259799998
DOUBLE_BANK,timing,hvac_group,C1-VAV,daily_mean_occupancy,30,930.2191780821918,930.2191780821918,930.2191780821918,930.2191780821918,930.2191780821918,930.2191780821918
DOUBLE_BANK,timing,hvac_group,C1-VAV,daily_peak_occupancy,30,2931.725462172025,2833.0620641621713,2911.323939087286,3064.3459600146266,2748.8908622501876,3221.3399573307897
DOUBLE_BANK,timing,hvac_group,C1-VAV,person_hours,30,22325.260273972603,22325.260273972603,22325.260273972603,22325.260273972603,22325.260273972603,22325.260273972603
DOUBLE_BANK,timing,hvac_group,C2-DOAS,daily_mean_occupancy,30,202.97680733920143,175.40429005677078,200.81052676927084,232.74322066625012,171.40004622708332,268.42241396250023
DOUBLE_BANK,timing,hvac_group,C2-DOAS,daily_peak_occupancy,30,612.6216904675001,530.2171139999998,606.4358241375,702.5376760500004,516.96168615,808.5810988500008
DOUBLE_BANK,timing,hvac_group,C2-DOAS,person_hours,30,4871.443376140834,4209.702961362499,4819.4526424625,5585.837295990003,4113.60110945,6442.137935100006
DOUBLE_BANK,timing,hvac_group,C2-VAV,daily_mean_occupancy,30,528.4807705479452,527.3179965753425,528.1951769406393,530.0005365296803,525.6962328767123,532.4280821917808
DOUBLE_BANK,timing,hvac_group,C2-VAV,daily_peak_occupancy,30,1644.1221913407308,1588.1505173332566,1639.2405930390594,1683.7190952245044,1545.649876585297,1852.2387815285908
DOUBLE_BANK,timing,hvac_group,C2-VAV,person_hours,30,12683.538493150683,12655.63191780822,12676.684246575343,12720.012876712328,12616.709589041096,12778.27397260274
DOUBLE_BANK,timing,hvac_group,NE-DOAS,daily_mean_occupancy,30,104.6104865023264,86.62053893645836,102.26930792604168,125.95418004968752,80.72923766979167,126.66297723333334
DOUBLE_BANK,timing,hvac_group,NE-DOAS,daily_peak_occupancy,30,341.9753102768334,297.2750619160001,325.6416775150001,392.890881474,261.57377624000003,435.6617286700001
DOUBLE_BANK,timing,hvac_group,NE-DOAS,person_hours,30,2510.651676055834,2078.8929344750004,2454.463390225,3022.9003211925005,1937.5017040750001,3039.9114536
DOUBLE_BANK,timing,hvac_group,NE-VAV,daily_mean_occupancy,30,959.771206502667,915.8195449697444,959.1344922297303,1007.8229159347131,890.7016585578534,1016.4444463585425
DOUBLE_BANK,timing,hvac_group,NE-VAV,daily_peak_occupancy,30,3018.5097208712978,2763.365225499721,2999.587021788414,3314.3223036714944,2679.6907113171214,3450.4229163496675
DOUBLE_BANK,timing,hvac_group,NE-VAV,person_hours,30,23034.508956064008,21979.669079273866,23019.227813513528,24187.749982433117,21376.83980538848,24394.66671260502
DOUBLE_BANK,timing,hvac_group,NW-DOAS,daily_mean_occupancy,30,154.20174226892362,137.6631413171875,154.7387098322917,168.1966511633333,126.29477090416667,199.9360367375
DOUBLE_BANK,timing,hvac_group,NW-DOAS,daily_peak_occupancy,30,471.03899277633343,424.1736912,468.80029829500006,521.5127163785,397.22098790500013,603.121967175
DOUBLE_BANK,timing,hvac_group,NW-DOAS,person_hours,30,3700.841814454167,3303.9153916125006,3713.7290359750004,4036.7196279199998,3031.0745017,4798.4648817
DOUBLE_BANK,timing,hvac_group,NW-VAV,daily_mean_occupancy,30,838.3918422562296,799.0440531365058,837.7909791795787,871.881910492879,780.5152111847465,909.2141421457121
DOUBLE_BANK,timing,hvac_group,NW-VAV,daily_peak_occupancy,30,2627.9537238350267,2441.1862909927872,2618.111097633967,2772.543193273524,2331.55749578235,3035.8362352497306
