source_space_name,category,nearest_entrance_space,adjacency_hops,flow_distance_band,flow_phase_steps,flow_phase_minutes,is_flow_entrance,phase_basis,phase_semantics
n-hall-12,terminal_hall,z-u-hall-3,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-hall-13,terminal_hall,z-u-hall-3,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-hall-2,terminal_hall,z-u-hall-2,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-hall-3,terminal_hall,z-u-hall-2,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-hall-4,terminal_hall,z-u-hall-2,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-hall-5,terminal_hall,z-u-hall-2,12,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-hall-6,terminal_hall,z-u-hall-2,13,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-hall-7,terminal_hall,z-u-hall-2,14,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-hall-8,terminal_hall,z-u-hall-3,13,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-hall-9,terminal_hall,z-u-hall-3,12,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-office-1,office,z-u-hall-2,10,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
n-office-2,office,z-u-hall-3,10,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
n-office-3,office,z-u-hall-2,12,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
n-office-4,office,z-u-hall-3,12,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
n-office-5,office,z-u-hall-2,14,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
n-office-6,office,z-u-hall-3,14,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
n-restroom-1,restroom,z-u-hall-2,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-restroom-2,restroom,z-u-hall-3,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-restroom-3,restroom,z-u-hall-2,15,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-restroom-4,restroom,z-u-hall-3,15,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-1-commerce 1,commerce_retail,z-u-hall-3,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-1-dining 1,dining,z-u-hall-3,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-1-office 1,office,z-u-hall-3,8,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
P1-1-office 2,office,z-u-hall-3,8,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
P1-10-restroom 1,restroom,z-u-hall-3,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-11-commerce 1,commerce_retail,z-u-hall-3,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-11-commerce 2,commerce_retail,z-u-hall-3,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-11-office 1,office,z-u-hall-3,7,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
P1-11-office 2,office,z-u-hall-3,7,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
P1-2-breakroom 1,breakroom,z-u-hall-3,8,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
P1-2-dining 1,dining,z-u-hall-3,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-2-restroom 1,restroom,z-u-hall-3,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-3-commerce 1,commerce_retail,z-u-hall-3,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-4-commerce 1,commerce_retail,z-u-hall-3,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-4-dining 1,dining,z-u-hall-3,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-5-commerce 1,commerce_retail,z-u-hall-3,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-6-commerce 1,commerce_retail,z-u-hall-3,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-7-dining 1,dining,z-u-hall-3,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-7-office 1,office,z-u-hall-3,11,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
P1-8-restroom 1,restroom,z-u-hall-3,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P1-9-commerce 1,commerce_retail,z-u-hall-3,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P2-1-commerce 2,commerce_retail,z-u-hall-3,13,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P2-1-commerce 3,commerce_retail,z-u-hall-3,13,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P2-2-restroom 1,restroom,z-u-hall-3,14,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P3-1-commerce 1,commerce_retail,z-u-hall-3,16,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P3-1-dining 1,dining,z-u-hall-3,16,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P3-2-dining 1,dining,z-u-hall-3,16,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P3-2-restroom 1,restroom,z-u-hall-3,16,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P4-1-commerce 1,commerce_retail,z-u-hall-3,14,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P4-2-commerce 1,commerce_retail,z-u-hall-3,13,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P4-2-commerce 2,commerce_retail,z-u-hall-3,13,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P4-3-commerce 1,commerce_retail,z-u-hall-3,12,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
P4-3-commerce 2,commerce_retail,z-u-hall-3,12,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-breakroom-1,breakroom,z-u-hall-2,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-breakroom-2,breakroom,z-u-hall-2,5,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-commerce-1,commerce_retail,z-u-hall-2,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-commerce-2,commerce_retail,z-u-hall-2,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-commerce-3,commerce_retail,z-u-hall-2,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-commerce-4,commerce_retail,z-u-hall-2,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-commerce-5,commerce_retail,z-u-hall-2,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-dining-1,dining,z-u-hall-2,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-dining-2,dining,z-u-hall-2,12,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-dining-3,dining,z-u-hall-2,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-dining-4,dining,z-u-hall-2,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-1,terminal_hall,z-u-hall-2,3,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-10,terminal_hall,z-u-hall-2,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-11,terminal_hall,z-u-hall-2,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-12,terminal_hall,z-u-hall-2,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-13,terminal_hall,z-u-hall-2,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-14,terminal_hall,z-u-hall-2,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-15,terminal_hall,z-u-hall-2,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-16,terminal_hall,z-u-hall-2,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-17,terminal_hall,z-u-hall-2,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-18,terminal_hall,z-u-hall-2,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-2,terminal_hall,z-u-hall-2,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-3,terminal_hall,z-u-hall-2,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-4,terminal_hall,z-u-hall-2,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-5,terminal_hall,z-u-hall-2,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-6,terminal_hall,z-u-hall-2,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-7,terminal_hall,z-u-hall-2,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-8,terminal_hall,z-u-hall-2,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-hall-9,terminal_hall,z-u-hall-2,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-office-1,office,z-u-hall-2,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-10,office,z-u-hall-2,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-11,office,z-u-hall-2,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-12,office,z-u-hall-2,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-13,office,z-u-hall-2,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
