analysis_scope,scenario_id,period_id,category,space_name,zone_name,metric,baseline,value,delta,delta_pct
seasonal_zone,entrance_2_lead,summer,breakroom,x-b-breakroom-1,xbbreakroom1,cooling_kwh,56.813973674569596,56.818217910336365,0.004244235766769577,0.007470408232806522
seasonal_zone,public_evening,winter,office,x-n-office-13,xnoffice13,heating_peak_kw,20.575467607749378,20.57393085881444,-0.0015367489349387142,-0.0074688408751397
seasonal_zone,entrance_3_lead,winter,commerce_retail,x-n-commerce-3,xncommerce3,heating_peak_kw,5.5746277871854915,5.5742118398572105,-0.0004159473282809856,-0.007461436783943351
seasonal_zone,entrance_3_lead,shoulder,office,z-d-office-2,zdoffice2,heating_kwh,533.9145922199235,533.9544162762835,0.03982405635997566,0.0074588814279066985
seasonal_zone,entrance_3_lead,shoulder,office,x-b-office-12,xboffice12,heating_kwh,21.057576292632643,21.059143962530577,0.0015676698979341097,0.007444683453349691
seasonal_zone,entrance_2_lead,winter,office,z-u-office-11,zuoffice11,heating_kwh,100.60618633604064,100.61367009955057,0.0074837635099385125,0.007438671300929302
seasonal_zone,public_evening,winter,restroom,x-n-restroom-2,xnrestroom2,heating_peak_kw,9.8653004098897,9.864566598487972,-0.0007338114017283459,-0.007438307717347559
seasonal_zone,entrance_2_lead,summer,office,n-office-1,noffice1,cooling_kwh,121.11018665421737,121.11917861218829,0.008991957970920339,0.007424609126062491
seasonal_zone,public_evening,winter,terminal_hall,hall-3-3,Thermal Zone: hall-3-3,heating_kwh,536.8599556171497,536.8202921537383,-0.039663463411443445,-0.007388046546673077
seasonal_zone,entrance_2_lead,winter,dining,d-b-dining-2,dbdining2,heating_peak_kw,11.862433895353892,11.861558113790045,-0.0008757815638471556,-0.0073828151252347055
seasonal_zone,public_evening,winter,terminal_hall,n-hall-3,nhall3,heating_kwh,319.52769752291425,319.5041078603319,-0.023589662582367055,-0.007382665967689818
seasonal_zone,public_evening,winter,office,z-u-office-7,zuoffice7,heating_peak_kw,34.79728595434817,34.79472106332505,-0.002564891023119742,-0.007370951362369801
seasonal_zone,entrance_2_lead,winter,commerce_retail,z-l-commerce-1,zlcommerce1,heating_kwh,939.2067691213747,939.2759786943161,0.06920957294141772,0.00736893889789179
seasonal_zone,public_evening,winter,terminal_hall,z-u-hall-2,zuhall2,heating_kwh,1200.5365624676285,1200.448182743289,-0.08837972433957475,-0.007361685358246458
seasonal_zone,entrance_3_lead,shoulder,commerce_retail,P4-3-commerce 2,Thermal Zone: P4-3-commerce 2,cooling_peak_kw,43.96759590840483,43.96436942217155,-0.003226486233280923,-0.0073383276174628165
seasonal_zone,public_evening,winter,terminal_hall,x-n-hall-17,xnhall17,heating_kwh,370.8310897899451,370.80391369825196,-0.02717609169314983,-0.007328428613831584
seasonal_zone,public_morning,winter,terminal_hall,hall-3-2,Thermal Zone: hall-3-2,heating_kwh,103.94536717934304,103.9377595683514,-0.0076076109916414225,-0.007318855277614792
seasonal_zone,entrance_3_lead,shoulder,breakroom,P1-2-breakroom 1,Thermal Zone: P1-2-breakroom 1,heating_peak_kw,1.2034019748232114,1.203489820404783,8.78455815715995e-05,0.007299770434937557
seasonal_zone,entrance_2_lead,shoulder,office,d-b-office-5,dboffice 5,heating_kwh,12.018479862397914,12.019355655054742,0.0008757926568279117,0.007287050166535575
seasonal_zone,public_evening,winter,terminal_hall,x-b-hall-8,xbhall8,heating_kwh,466.01082818942376,465.97694576541966,-0.033882424004104905,-0.007270737492462815
seasonal_zone,public_evening,winter,terminal_hall,x-n-hall-12,xnhall12,heating_kwh,494.02881928080683,493.992987663109,-0.035831617697851925,-0.00725294077985462
